Rank	 Temple	 Points	 Change	 MahaBig Books	 Big Books	 Medium Books	 Small Books	 Mags	 BTG Subs	 Sets	 Latitude	 Longitude	Year
96	Mumbai-Mira Roa	6672	0	3335	0	3	2	0	0	0	19.2871393	72.8688419	2011
97	Sofia 	6629	0	2425	941	0	3352	0	0	0	42.6977082	23.3218675	2011
98	Novorosiysk 	6547	0	1360	1920	3360	0	2270	0	0	44.7154014	37.7619669	2011
99	Caracas 	6536	0	167	34	0	24672	0	0	0	10.4696404	-66.8037185	2011
100	Dhaka-Swamibag	6013.7	0	2608	151	152	340	4857	0	0	23.7146728	90.42202	2011
101	Montevideo 	5921	0	64	134	4	22628	0	0	2	-34.9011127	-56.1645314	2011
102	Brisbane 	5802.25	0	758	2978	1402	2429	0	0	8	-27.4710107	153.0234489	2011
103	Rostov-na-Donu	5780	0	970	1090	2470	5580	1200	0	0	47.2357137	39.701505	2011
104	Wellington 	5715.75	0	2093	941	221	1913	0	0	3	-41.2864603	174.776236	2011
105	Munich 	5627	0	902	1039	5568	0	0	0	0	48.1351253	11.5819806	2011
106	Brahmapur 	5531	0	2639	57	155	474	0	0	0	19.3149618	84.7940911	2011
107	Boston 	5447	0	1259	219	1298	8244	0	0	1	42.3600825	-71.0588801	2011
108	Malaysia BBT MO	5397.75	0	1608	605	278	5311	1100	0	24	4.210484	101.975766	2011
109	Simferopol 	5363.5	0	1973	145	2013	1064	0	0	0	44.952117	34.102417	2011
110	Kharkov 	5225.5	0	1714	123	2512	1674	0	0	0	49.9935	36.230383	2011
111	Vancouver 	5040.2	0	919	557	2646	3238	1211	89	6	45.6387281	-122.6614861	2011
112	Valsad 	4875.75	0	2236	297	28	351	50	0	0	20.5992349	72.9342451	2011
113	Chelyabinsk 	4849	0	1226	1249	687	3218	0	0	0	55.1644419	61.4368431	2011
114	Krasnodar 	4460	0	700	950	1600	3460	4450	0	0	45.0392674	38.987221	2011
115	Novokuznetzk 	4449.5	0	310	690	4910	1270	3670	0	0	53.7595935	87.1215705	2011
116	Chicago 	4361	0	1573	418	393	2402	0	0	0	41.8781136	-87.6297982	2011
117	Tokyo 	4318	0	1899	463	0	228	0	0	0	35.6894875	139.6917064	2011
118	Donetsk 	4200.5	0	952	23	3076	2918	60	0	0	48.015883	37.80285	2011
119	Bangkok 	4156.6	0	383	25	622	562	29141	0	0	13.7563309	100.5017651	2011
120	Shylet 	4148.25	0	1680	401	517	515	0	0	0	24.904539	91.8611011	2011
121	Perth 	4086.75	0	663	1716	1314	1551	0	0	0	-31.9535132	115.8570471	2011
122	Odessa 	3988.5	0	1535	30	1251	1052	0	0	0	46.482526	30.7233095	2011
123	Sochi 	3934.25	0	583	1061	1112	3945	1650	0	0	43.6028079	39.7341543	2011
124	Izevsk 	3792.25	0	1431	566	341	715	150	0	0	56.8618601	53.2324285	2011
125	Ljubljana 	3676.25	0	1122	941	969	27	0	0	0	46.0569465	14.5057515	2011
126	Bologna 	3665.5	0	1415	0	1671	0	0	0	0	44.494887	11.3426163	2011
127	Latinoamerica T	3660.75	0	296	0	244	11787	0	0	0	-12.1484045	-76.9468951	2011
128	Rio de Janeiro	3579	0	169	24	78	12634	195	0	0	-22.9068467	-43.1728965	2011
129	Belo Horizonte Web	3567.25	0	446	52	70	10353	0	0	0	-19.9052969	-43.9635593	2011
130	Alachua 	3482.7	0	616	221	1189	4074	4167	0	0	29.7938144	-82.4944226	2011
131	Allahabad 	3405.25	0	1023	596	305	2443	0	0	0	25.4358011	81.846311	2011
132	Goloka Dhama 	3288	0	590	675	2866	0	0	0	0	20.7366812	86.2894149	2011
133	N-Tagil 	3271.25	0	410	477	1406	5085	0	0	0	57.9371145	59.9600363	2011
134	Miami 	3267.8	0	301	330	681	6194	4380	2	3	25.7616798	-80.1917902	2011
135	Malaysia TSKP 	3169.7	0	754	319	326	4608	277	0	16	4.210484	101.975766	2011
136	Atlanta 	3131	0	1054	659	727	2	0	0	0	33.7489954	-84.3879824	2011
137	Novosibirsk 	3080	0	360	640	1820	3240	0	0	0	55.0083526	82.9357327	2011
138	Porto Alegre 	3025.8	0	304	11	632	8352	28	0	0	-30.0346471	-51.2176584	2011
139	Krishna Culture	2914.75	0	1258	106	401	277	142	2	26	36.66325	-4.507273	2011
140	Buenos Aires 	2888.75	0	69	712	1960	4235	0	0	0	-34.6036844	-58.3815591	2011
141	Bhimavaram 	2795.25	0	1205	134	92	821	0	0	0	16.544893	81.521241	2011
142	Nellore 	2793	0	0	1213	396	5528	0	0	0	14.4425987	79.986456	2011
143	Dallas 	2579.05	0	706	501	510	1233	148	20	12	32.7766642	-96.7969879	2011
144	Ottawa 	2510.5	0	1142	126	43	76	72	12	6	45.4215296	-75.6971931	2011
145	Madrid 	2434	0	568	810	116	1720	0	0	0	40.4167754	-3.7037902	2011
146	Osijek 	2370	0	128	404	1901	3038	0	0	0	45.5549624	18.6955144	2011
147	Chattagram-Prab	2368.25	0	917	348	227	291	0	0	0	null	null	2011
148	Magnitogorsk 	2344.75	0	620	498	370	1687	0	0	0	53.4129429	59.0016233	2011
149	Zurich 	2341.25	0	503	902	857	19	0	0	12	47.3686498	8.5391825	2011
150	Vrajabhumi 	2313	0	160	0	773	6426	0	0	0	null	null	2011
151	Tomsk 	2247	0	290	610	820	1920	1670	0	0	56.5010397	84.9924506	2011
152	Honolulu 	2239.25	0	682	0	1641	219	0	0	0	21.3069444	-157.8583333	2011
153	Herson 	2134.25	0	590	97	712	2005	0	0	0	46.635417	32.616867	2011
154	German Congrega	2096	0	786	97	675	0	895	0	0	null	null	2011
155	Tyumen 	2018.75	0	523	599	389	249	1170	0	0	57.1612975	65.5250172	2011
156	New York Queens	2000	0	920	25	80	380	0	0	0	40.7282239	-73.7948516	2011
157	Kishinev 	1885.75	0	266	544	1105	1029	0	0	0	47.0104529	28.8638103	2011
158	Rovno 	1884.75	0	588	84	1046	407	0	0	0	50.6199	26.251617	2011
159	Zagreb 	1877.25	0	132	246	1559	2351	0	0	0	45.8150108	15.981919	2011
160	Kursk 	1863.25	0	515	405	792	129	0	0	0	51.7091957	36.1562241	2011
161	Berkeley 	1819.3	0	390	191	757	1744	338	0	0	37.8715926	-122.272747	2011
162	Kinshasa 	1789.5	0	255	722	555	1100	31	1	0	-4.4419311	15.2662931	2011
163	Ufa 	1715.75	0	659	264	127	281	0	0	0	54.7387621	55.9720554	2011
164	Vladivostok 	1480	0	160	370	620	1920	0	0	0	43.1737387	132.0064506	2011
165	Trincomalee 	1470	0	476	322	132	100	1050	0	0	8.5922	81.1967958	2011
166	Boise 	1421.5	0	703	0	1	60	0	0	4	43.6187102	-116.2146068	2011
167	New Vrajadham-B	1419.35	0	87	110	155	4231	1	0	0	null	null	2011
168	Ivanovo 	1366.75	0	226	117	985	1221	0	0	0	57.0050671	40.9766453	2011
169	Accra 	1359.9	0	83	406	597	970	2469	0	0	5.6037168	-0.1869644	2011
170	Kampala 	1341	0	588	114	0	204	0	0	0	0.3475964	32.5825197	2011
171	New Govardhana	1298	0	296	408	286	620	0	0	0	28.5490104	77.2515992	2011
172	Vologda 	1195.75	0	226	490	292	431	0	0	0	59.2180665	39.8978052	2011
173	Kovrov 	1166.3	0	430	189	146	64	283	0	0	56.356769	41.3226311	2011
174	Campina Grande	1163.9	0	71	0	186	3632	209	0	0	-7.2223667	-35.8734667	2011
175	Athens 	1137.5	0	4	0	2253	12	0	0	0	37.983917	23.7293599	2011
176	Jeleznogorsk 	1110.2	0	126	363	467	1000	117	0	0	52.3332892	35.3669551	2011
177	Skudai 	1078.5	0	366	177	87	494	25	0	5	1.537909	103.6622279	2011
178	Blagovestensk 	1060.75	0	8	894	281	41	0	0	0	50.2727763	127.5404017	2011
179	Alchevsk 	1050	0	246	122	632	480	0	0	0	48.4713393	38.8134407	2011
180	Detroit 	1027.5	0	417	66	161	188	0	0	0	42.331427	-83.0457538	2011
181	Noyakhali 	990.75	0	424	92	62	55	60	0	0	22.8246384	91.1017334	2011
182	Kisumu 	984.5	0	281	130	150	870	0	0	2	-0.0917016	34.7679568	2011
183	Mombasa 	977.5	0	9	48	4	3624	35	0	1	-4.0434771	39.6682065	2011
184	Rybinsk 	959.85	0	120	466	189	605	81	0	0	58.057486	38.8116968	2011
185	Tampa Bay 	957.05	0	7	40	339	1621	3283	0	2	27.7495159	-82.5834947	2011
186	Lipezk 	945	0	350	30	105	648	5	0	0	52.6121996	39.5981225	2011
187	Centro Studi Bh	945	0	390	0	330	0	0	0	0	-23.3571189	-51.1397419	2011
188	Sarov 	930.25	0	135	527	177	179	0	0	0	54.9342792	43.3252503	2011
189	Tbilisi 	925	0	0	925	0	0	0	0	0	41.7151377	44.827096	2011
190	Kirov 	863.95	0	283	90	202	425	7	0	0	58.6035321	49.6667983	2011
191	Cape Town 	849.8	0	62	74	329	1946	8	0	0	-33.9248685	18.4240553	2011
192	Bukit-Mertajam	836.5	0	212	25	50	1450	0	0	3	5.365458	100.4590091	2011
193	Tula 	830	0	176	351	133	242	0	0	0	54.204836	37.6184915	2011
194	Amsterdam 	825.55	0	136	209	106	1131	88	0	2	52.3702157	4.8951679	2011
195	Tashkent 	810	0	0	0	1620	0	0	0	0	41.2994958	69.2400734	2011
196	Brazil BBT 	807.2	0	285	3	24	888	2	0	0	null	null	2011
197	Rijeka 	764	0	46	152	630	820	0	0	0	45.3270631	14.442176	2011
198	Curitiba 	711.6	0	51	2	149	1716	1041	0	0	-25.4289541	-49.267137	2011
199	Vladimir 	701.25	0	177	165	211	307	0	0	0	56.1445956	40.4178686	2011
200	Smolensk 	674	0	298	53	50	0	0	0	0	54.7903112	32.0503663	2011
201	Pretoria 	666.25	0	58	61	116	1725	0	0	1	-25.7478676	28.2292712	2011
202	Klang 	635.5	0	149	11	40	1226	0	0	0	3.044917	101.4455621	2011
203	Penang 	610.5	0	134	12	17	1288	0	0	2	5.414921	100.3297612	2011
204	Nava-Nrsimha-Ks	604	0	36	122	820	0	0	0	0	39.011902	-98.4842465	2011
205	Karlovac 	593.25	0	46	109	528	513	0	0	0	45.4928973	15.5552683	2011
206	Kuantan 	566.4	0	221	56	2	258	29	0	1	3.816667	103.333333	2011
207	Newlands	564.5	0	222	25	46	290	0	0	9	-41.2236672	174.8233078	2011
208	Murmansk 	561	0	141	219	78	84	0	0	0	68.9585244	33.0826598	2011
209	Phoenix	556.25	0	75	101	215	791	0	0	2	33.4483771	-112.0740373	2011
210	Seremban 	555.1	0	93	20	33	1316	36	0	0	2.725889	101.9378239	2011
211	Lima 	552.5	0	1	0	2	2198	0	0	0	-12.046374	-77.0427934	2011
212	Blantyre 	531.2	0	181	70	1	386	22	0	6	-15.7666707	35.0167866	2011
213	Calgary 	523.25	0	0	350	124	45	120	20	0	51.0486151	-114.0708459	2011
214	New Gokula-Braz	493.5	0	88	18	39	1120	0	0	0	null	null	2011
215	Gita-nagari 	490	0	0	0	280	1400	0	0	0	29.3793099	78.1357762	2011
216	Berezniki 	481.9	0	162	63	138	62	104	0	0	59.4131827	56.7849318	2011
217	Jessore 	475.75	0	159	93	17	225	0	0	0	23.1777682	89.1801225	2011
218	Pskov 	461.5	0	23	333	104	48	185	0	0	57.8166994	28.3344734	2011
219	Luzk 	455.75	0	143	49	194	95	0	0	0	50.747233	25.325383	2011
220	Barisal 	439.75	0	183	39	51	37	0	0	0	22.7029212	90.3465971	2011
221	Shanghai 	426	0	213	0	0	0	0	0	0	31.230416	121.473701	2011
222	Balakong 	421	0	200	5	9	46	0	0	0	3.0256822	101.738147	2011
223	Voronej 	416.25	0	121	123	14	173	10	0	0	51.6754966	39.2088823	2011
224	Mafikeng 	415.25	0	13	20	155	1167	0	0	0	-25.855978	25.64031	2011
225	Luxembourg NH 	410.5	0	185	0	0	162	0	0	0	52.4978448	4.6756008	2011
226	Varazdin 	396	0	30	104	232	464	0	0	0	46.305746	16.3366066	2011
227	NY Long Island	369	0	92	85	71	258	0	0	0	40.7891424	-73.1349605	2011
228	Khmelnitsky 	360.5	0	120	15	207	8	0	0	0	49.422983	26.987133	2011
229	Tiraspol 	306.25	0	99	0	178	77	0	0	0	46.848185	29.596805	2011
230	Baku 	304	0	0	304	0	0	0	0	0	40.4092617	49.8670924	2011
231	Sao Lorenco do	298	0	22	0	143	730	0	0	0	-26.3545259	-52.8527049	2011
232	Vinniza 	296	0	92	0	68	312	0	0	0	49.233083	28.468217	2011
233	Belgorod 	287.5	0	76	48	97	156	0	0	0	50.5997134	36.5982621	2011
234	Lugansk 	285.5	0	67	1	298	6	0	0	0	48.574041	39.307815	2011
235	Cologne	282.6	0	21	73	321	0	71	0	0	50.937531	6.9602786	2011
236	Hamburg 	274	0	102	36	68	0	0	0	0	53.5510846	9.9936818	2011
237	Ternopol 	273	0	29	0	240	380	0	0	0	49.553517	25.594767	2011
238	Sungei Siput 	269.7	0	83	33	26	230	2	0	0	4.819012	101.0737181	2011
239	Ipoh 	266.5	0	110	0	51	60	60	0	4	4.597479	101.090106	2011
240	Gaura Vrndavana	266.5	0	21	0	236	426	0	0	0	27.5759477	77.7008509	2011
241	Marilia 	259.75	0	84	0	0	367	0	0	0	-22.2175846	-49.9505291	2011
242	Chattagram-Pund	245	0	103	24	12	36	0	0	0	null	null	2011
243	Joao Pessoa 	242.75	0	18	0	130	567	0	0	0	-7.1194958	-34.8450118	2011
244	Zaporozhye 	236	0	92	0	59	90	0	0	0	47.8388	35.139567	2011
245	Hillsborough 	234.7	0	70	52	37	88	22	0	0	36.0754183	-79.0997347	2011
246	Salvador 	214.5	0	42	3	0	510	0	0	0	13.794185	-88.89653	2011
247	Rotterdam 	213	0	58	21	25	254	0	0	1	51.9244201	4.4777325	2011
248	Sterlitamak 	212	0	78	24	24	80	0	0	0	53.6554353	55.9438932	2011
249	Kluang 	208.45	0	71	12	8	197	12	0	1	2.030068	103.3184639	2011
250	Sao Paulo 	207.5	0	52	1	27	96	650	0	0	-23.5505199	-46.6333094	2011
251	Bandar Putra 	204.5	0	26	3	23	552	0	0	0	1.650487	103.627669	2011
252	Mpumalanga 	187.55	0	8	34	31	487	3	0	1	-29.8039699	30.6314948	2011
253	Recife 	179.25	0	10	0	46	545	0	0	0	-8.0578381	-34.8828969	2011
254	Seberang Jaya 	166.55	0	6	105	26	145	3	0	2	5.3818942	100.3989242	2011
255	Chernigov 	146.45	0	54	12	36	33	2	0	0	51.4982	31.28935	2011
256	Houston 	145.75	0	3	22	63	329	40	0	3	29.7604267	-95.3698028	2011
257	Gelugor 	139.55	0	0	92	10	165	13	0	0	5.369118	100.3096991	2011
258	Nikolaev 	135.5	0	36	2	95	56	0	0	0	46.975033	31.994583	2011
259	Wiesbaden 	131	0	65	0	2	0	0	0	0	50.0782184	8.2397608	2011
260	Taman Sentosa 	126.5	0	21	0	10	318	0	0	0	1.492602	103.7677208	2011
261	Bogota 	122.25	0	15	0	31	307	0	0	0	4.7109886	-74.072092	2011
262	Kuching 	116.95	0	26	12	14	173	27	0	1	1.56	110.345	2011
263	Kulim 	115.3	0	38	5	0	116	53	0	1	5.371742	100.5553372	2011
264	Port Dickson 	113	0	38	5	5	118	0	0	2	2.52254	101.7962932	2011
265	Nibong Tebal 	110.5	0	18	0	0	298	0	0	1	5.170128	100.4792231	2011
266	Phuket 	108.25	0	15	0	0	275	95	0	0	7.8804479	98.3922504	2011
267	Buntong 	103.4	0	12	9	10	250	29	0	0	4.5936913	101.0692707	2011
268	Lukut 	101.35	0	21	6	10	149	111	0	0	2.5851913	101.8350062	2011
269	Melaka 	94.5	0	18	55	0	10	10	0	1	2.189594	102.2500868	2011
270	Seattle 	93.25	0	11	40	0	125	0	0	1	47.6062095	-122.3320708	2011
271	Taiping 	92.5	0	40	10	0	10	0	0	0	4.851932	100.7416339	2011
272	Simpang Empat 	92	0	41	0	0	40	0	0	1	6.02434	100.3832921	2011
273	Alor Setar 	89	0	8	26	11	162	10	0	0	6.1248	100.3678178	2011
274	Hobiganj 	88	0	34	14	10	0	10	0	0	24.3840055	91.4168974	2011
275	Sao Jose dos Ca	85.1	0	10	0	53	154	1	0	0	-23.223701	-45.9009074	2011
276	Bedong 	80.75	0	28	8	5	55	5	0	1	5.7288367	100.5071369	2011
277	Cherepovets 	79.5	0	24	4	55	0	0	0	0	59.132333	37.9091811	2011
278	Fortaleza 	79.25	0	0	0	1	315	0	0	0	-3.7318616	-38.5266704	2011
279	Natal 	69.25	0	22	0	0	101	0	0	0	-5.7792569	-35.200916	2011
280	Chaykovskiy 	67.5	0	26	5	20	2	0	0	0	56.766116	54.1276714	2011
281	Lvov 	60.25	0	11	0	12	129	0	0	0	49.839683	24.029717	2011
282	Split 	58.5	0	6	1	57	68	0	0	0	43.5081323	16.4401935	2011
283	Bahau 	56	0	28	0	0	0	0	0	1	2.809902	102.398351	2011
284	Florianopolis 	52.95	0	8	0	9	93	92	0	0	-27.5953778	-48.5480499	2011
285	Via Prudente 	50.65	0	4	3	27	97	19	0	0	40.6842002	14.7725848	2011
286	Brazzaville 	48	0	24	0	0	0	0	0	0	-4.2633597	15.2428853	2011
287	Barcelona 	46.75	0	2	0	11	149	0	0	0	41.3850639	2.1734035	2011
288	Winnipeg 	45.65	0	0	3	11	99	80	1	0	49.8997541	-97.1374937	2011
289	Croatia Nama Ha	39.75	0	5	5	31	37	0	0	0	null	null	2011
290	Panama City 	36.25	0	0	0	28	89	0	0	0	9.1011785	-79.4028639	2011
291	Johore 	31	0	3	0	25	50	0	0	0	1.4853682	103.7618154	2011
292	Uberaba 	30	0	11	0	0	32	0	0	0	-19.7473668	-47.939154	2011
293	Pula 	26.25	0	5	4	19	11	0	0	0	44.8666232	13.8495788	2011
294	Langenthal 	25	0	5	15	0	0	0	0	0	47.2139734	7.7847334	2011
295	Leuvan 	23.75	0	0	15	0	35	0	0	0	65.4400553	25.8437396	2011
296	Zadar 	22	0	0	0	13	62	0	0	0	44.119371	15.2313648	2011
297	Bentong 	20	0	10	0	0	0	0	0	0	3.522168	101.910353	2011
298	Dubrovnik 	16	0	8	0	0	0	0	0	0	42.6506606	18.0944238	2011
299	New Vrajamandal	7.5	0	0	0	0	30	0	0	0	null	null	2011
300	Prudente 	3	0	1	0	0	4	0	0	0	33.6475956	-117.6292309	2011
301	Vitoria 	2.2	0	0	2	0	0	2	0	0	-20.2976178	-40.2957768	2011
